Question,Options,Answer
「どうしてこれ、食べないの？」「だって、___。ぜんぜん食べられないよ。」,a.大嫌いなもの b.大嫌いなんだもの c.大嫌いであるもの,b
体力がついてきたおかげで、これから___。,a.頑張ろう b.頑張れる c.頑張ることにした,b
沖縄の海は本当にきれいだった。あまりの美しさに___。,a.ぼーっとしてしまった b.よく見た c.とてもうれしかった,a
___ので、早く結婚したくてもするわけにはいかないんです。,a.まだ相手がいない b.一人でいるのが好きな c.まだ仕事が決まらない,c
日本語の勉強を始めたばかりのトムさんには___だろう。,a.難しい漢字は書けない b.難しい漢字の書きようがない c.難しい漢字を書けようがない,a
___、この本を読むどころではなかった。,a.来客があって b.字が小さくて c.眼鏡がなくて,a
どんな場合でも事故は___。,a.起これる b.起こることができる c.起こり得る,c
歌手になるのは難しいとわかっているが、会社も辞めてしまったのだから___。,a.あきらめようがない b.あきらめるわけにはいかない c.あきらめがたい,b
わたしはフルタイムで働きたいし、夫___、そのほうが心強いだろう。,a.にしたら b.にしても c.にしては,b
農家の人___米の値段をもっと上げてほしいだろう。,a.にしては b.にしたら c.にとって,b
あの映画は___、忙しくて見ずじまいだった。,a.見たかったが b.見ようと思っているが c.まだ公開しているが,a
外国と日本とを行ったり来たりして迷った___、日本で仕事を探すことにした。,a.ところ b.きり c.あげく,c
この映画は、難しいタイトル___、内容がわかりやすい。,a.にしたら b.にしても c.のわりは d.だけに,c
間違って他の人にメールを送ってしまった___、とんでもない誤解をされた。,a.ばかりか b.ばかりに c.ばかりで d.ばかり,b
自分でこの犬を飼うと___、責任を持って面倒を見なければならない。,a.言った以上 b.言った上に c.言った末に d.言った上で,a
足の小指をぶつけて、___飛び上がった。,a.あまりの痛さに b.あまりに痛さで c.痛いあまりで d.痛さあまりに,a
この天気では、今日はハイキングには___。,a.行き得ない b.行けない c.行きかねる d.行きがたい,b
上手に説明ができなくても仕方がないよ。まだ___。,a.子供のことなんだ b.子供のものなんだ c.子供なんだこと d.子供なんだもの,d
ああ、気が付いて良かった。危うく降りる駅を___。,a.間違えるところだった b.間違えたところだった c.間違えるどころではなかった d.間違えたどころではなかった,a
辞書がなくてその漢字が正しいかどうか___、うっかりそのままにしてしまいました。,a.確かめようがなかったところ b.確かめるようにしなかったところ c.確かめようがなかったもので d.確かめるようにしなかったもので,c
わたしは___くらいで薬は飲まない。,a.風邪を引いた b.病気になった c.熱がない,a
お金を借りてまで車を___。,a.買う必要はない b.買いたい c.買わなかった,a
自分のことさえ自分でやれば、___。,a.とてもいいことだよ b.あまりいいことではないよ c.何でも好きなことをしていいよ,c
___でも医師の資格を取りたい。,a.10年間勉強して b.これからも勉強を続けて c.一生懸命勉強して,a
___でも明日のサッカーの試合は見るつもりだ。,a.仕事をしなくて b.仕事を休んで c.テレビの前に座って,b
こんなに買い物ばかりしていたら、給料日までにお金が___。,a.なくなりかねない b.少しだけありかねない c.足りかねない,a
歯を抜いた後___恐れがあります。,a.食欲がない b.熱が高い c.熱が出る,c
パソコンから変な音がする。___。,a.故障しまいか b.故障したのではあるまい c.故障したのではあるまいか,c
宝くじを買った。どうせ___。,a.当たるまい b.当たるに違いない c.当たらない恐れがある,a
このままのペースで仕事を進めると、8月中に___。,a.終わらないとみえる b.終わりかねない c.終わらない恐れがある,c
1か月夏休みがあればいいなあと思うが、それは普通の会社員には___というものだ。,a.ぜいたく b.うれりい c.うらやましい,a
文章を書くことは___にほかならない。,a.楽しい b.難しくないの c.考えること,c
どんな仕事も早めに手を付ける___。,a.よりほかない b.べきではない c.に越したことはない,c
親に本当のことを言おうか言うまいか___。,a.わからない b.3日も考えている c.関係ない,b
あ、泥棒。財布を取られた。___もんか。必ず捕まえるぞ。,a.逃げる b.逃げた c.逃がす,c
先生、___。,a.無理しないことですよ b.無理をするものではありませんよ c.無理をなさいませんように,c
来年の試験に合格したかったら、___。,a.もっと努力しようではないか b.もっと努力するものだ c.もっと努力することだ,c
仕事中だが、今やっている試合の___しょうがない。,a.結果を気にして b.結果が気になって c.結果がわからなくて,b
母は叔父のことが不愉快に___。,a.思えてならない b.思えてならないようだ c.思ってならない,b
地球上からせんそうを___。,a.なくさなければならない b.なくさざるを得ない c.なくさないわけにはいかない,a
この文章はだれかの文章をまねしたように___。,a.思えないわけにはいかない b.思えてたまらない c.思えてならない,c
このホールは冷房が効きすぎていて、___。,a.寒くてならない b.寒くならないではいられない c.寒くならざるを得ない,a
この人は変わった種類のトイレットペーパーを集めているのか。___ものだ。,a.いろんな人がいる b.変な人の c.一般には理解されない,a
何とかしてこの犬の飼い主を___。,a.見つけてあげたい b.見つけてあげない c.見つけてあげられない,c
何かもっと簡単に日本語が上手になる方法は___ものか。,a.ある b.ない c.わからない,b
10代の心は微妙だ。この時期の子供の扱いはなかなか___ものがある。,a.問題の b.難しい c.わからなかった,b
事故にあった全員の命が助かった。本当に___ことだ。,a.うれしい b.喜んだ c.命は大切な,a
この曲は素晴らしい。今まで___聞いたことか。,a.何度か b.何度も c.何度,c
年をとっても夢を___。,a.持ち続けていたいことだ b.持ち続けていたいものだ c.持ち続けていたいことか,b
いつまでも小さいことでけんかしているのは、実に___。,a.くだらないことだ b.くだらないことだろう c.くだらないものだ,a
迷惑をかけてしまった人たちのことを考えると、今でも___。,a.心苦しいものだ b.心苦しいことだ c.心苦しいものがある,c
よくもまあ、こんな細かい彫刻が___。,a.できることか b.できるものだ c.できないものか,b
小川さんの作る料理はおいしい___。何しろプロなんだから。,a.に決まっていますよ b.と見えますよ c.ことがありますよ d.ものがありますよ,a
まだたっぷり時間があったのだから、あんなに___。,a.急ぐことはなかった b.急ぐものではなかった c.急ぐはずがなかった d.急ぐよりほかなかった,a
彼のちょっとした態度だけで自分が嫌われていると思うなんて、___。,a.考えすぎるものだ b.考えすぎというものだ c.考えすぎたものだ d.考えすぎというものではない,b
残念ですが、これだけ結果が悪ければ、この計画は失敗だと___。,a.言うものだ b.言ったところだ c.言わないことはない d.言わざるを得ない,c
留学生には日本語だけでなく、日本の文化や社会のことも___。,a.学ぶものだ b.学ばせるものだ c.学びたいものだ d.学んでほしいものだ,d
最近の科学技術の進歩には___,a.驚くべきことがある b.驚くというものだ c.驚くべきものがある d.驚くというものではない,c
